image_path,class_label,attributes,caption,split,instance_id
images/team14_wrist_watch (1).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black wrist watch face,train,Team14_BlackWatch_A
images/team14_wrist_watch (2).jpg,clothing_wristwatch,color:black;material:plastic;pattern:unknown,new small black plastic watch from side,train,Team14_BlackWatch_B
images/team14_wrist_watch (3).jpg,clothing_wristwatch,color:unknown;material:metal;pattern:unknown,new small yellow metal watch lying straight,val,Team14_YellowWatch_A
images/team14_wrist_watch (4).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather watch,val,Team14_BlackWatch_C
images/team14_wrist_watch (5).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black wrist watch face,train,Team14_BlackWatch_D
images/team14_wrist_watch (6).jpg,clothing_wristwatch,color:unknown;material:metal;pattern:unknown,new small yellow metal watch lying sideways,train,Team14_YellowWatch_B
images/team14_wrist_watch (7).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather watch sideways,train,Team14_BlackWatch_E
images/team14_wrist_watch (8).jpg,clothing_wristwatch,color:silver;material:unknown;pattern:unknown,new small silver leather watch from side,train,Team14_SilverWatch_A
images/team14_wrist_watch (9).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather watch from side,train,Team14_BlackWatch_AS
images/team14_wrist_watch (10).jpg,clothing_wristwatch,color:unknown;material:metal;pattern:unknown,new small yellow metal wrist watch face,train,Team14_YellowWatch_C
images/team14_wrist_watch (11).jpg,clothing_wristwatch,color:black;material:plastic;pattern:unknown,new small black plastic watch from side,train,Team14_BlackWatch_F
images/team14_wrist_watch (12).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small silver metal watch from side,val,Team14_SilverWatch_B
images/team14_wrist_watch (13).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small silver metal watch lying diagonally,train,Team14_SilverWatch_C
images/team14_wrist_watch (14).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small silver metal watch lying sideways,train,Team14_SilverWatch_V
images/team14_wrist_watch (16).jpg,clothing_wristwatch,color:unknown;material:metal;pattern:unknown,new small yellow metal watch lying straight,train,Team14_SilverWatch_D
images/team14_wrist_watch (17).jpg,clothing_wristwatch,color:unknown;material:metal;pattern:unknown,new small yellow metal watch lying sideways,train,Team14_YellowWatch_E
images/team14_wrist_watch (19).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small silver metal watch from side,train,Team14_SilverWatch_E
images/team14_wrist_watch (20).jpg,clothing_wristwatch,color:black;material:plastic;pattern:unknown,new small black plastic wrist watch from side,train,Team14_BlackWatch_G
images/team14_wrist_watch (21).jpg,clothing_wristwatch,color:silver;material:unknown;pattern:unknown,new small silver leather wrist watch from side,train,Team14_SilverWatch_F
images/team14_wrist_watch (22).jpg,clothing_wristwatch,color:black;material:plastic;pattern:unknown,new small black plastic watch from side,train,Team14_BlackWatch_H
images/team14_wrist_watch (23).jpg,clothing_wristwatch,color:unknown;material:metal;pattern:unknown,new small yellow metal watch from side,val,Team14_YellowWatch_F
images/team14_wrist_watch (24).jpg,clothing_wristwatch,color:black;material:plastic;pattern:unknown,new small black plastic watch upside down,val,Team14_BlackWatch_I
images/team14_wrist_watch (25).jpg,clothing_wristwatch,color:silver;material:unknown;pattern:unknown,new small silver leather watch from side,train,Team14_SilverWatch_G
images/team14_wrist_watch (26).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather watch from front,train,Team14_BlackWatch_J
